plot	ntot.tree	dbh	myBA	bigBA2	beta	prbeta	u	mort
65	21	7.55813139094359	44.8661450698573	57330.283063583	2.5	0.000251762336354481	30.5355223689091	TRUE
160	22	7.55813139094359	44.8661450698573	70194.6299343383	2.5	0.000503524672708963	23.1328576360022	TRUE
100	24	7.66139939713792	46.1005479802895	81757.0379174896	2.5	0.000755287009063444	19.6620442751924	TRUE
118	22	7.66139939713792	46.1005479802895	59456.3354710475	2.5	0.00100704934541793	17.5181815131443	TRUE
121	18	7.67372303395131	46.2489760432655	40132.6212508439	2.5	0.00125881168177241	16.0162493754679	TRUE
142	21	7.67372303395131	46.2489760432655	64097.1462943426	2.5	0.00151057401812689	14.8841517058561	TRUE
156	21	7.71831342690973	46.7880238265819	51442.7595156815	2.5	0.00176233635448137	13.9888204108904	TRUE
48	19	7.78589475302324	47.6109600552533	79456.5753123322	2.5	0.00201409869083585	13.2562289785493	TRUE
197	13	7.79827018990347	47.7624326123065	30715.6157075893	2.5	0.00226586102719033	12.6413841201652	TRUE
97	24	7.86904138598196	48.6332776815982	59719.3692642061	2.5	0.00251762336354481	12.1151063274222	TRUE
185	20	7.86904138598196	48.6332776815982	72741.9390257993	2.5	0.00276938569989929	11.6575077483153	TRUE
53	24	7.96857076608129	49.8713068696379	87675.3095908018	2.5	0.00302114803625378	11.2544895877463	TRUE
3	26	8.0972788148716	51.4953564526669	91961.7886443193	2.5	0.00327291037260826	10.8957325644222	TRUE
39	21	8.1513680582809	52.1856248467235	64655.4412802326	2.5	0.00352467270896274	10.5734811109656	TRUE
172	15	8.1513680582809	52.1856248467235	22141.6417341481	2.5	0.00377643504531722	10.2817749814483	TRUE
140	19	8.16511460168964	52.3617859140502	51616.9007019816	2.5	0.0040281973816717	10.0159455422585	TRUE
157	20	8.470720961396	56.3547636440701	72308.7201510615	2.5	0.00427995971802618	9.77227514757713	TRUE
2	20	8.75918040594537	60.258292872812	75043.3494793331	2.5	0.00453172205438067	9.54776054881499	TRUE
157	20	8.81423587650731	61.0181755726637	72247.7019754889	2.49789035902429	0.00478348439073515	9.3349473128965	TRUE
118	22	8.82263983722138	61.1345869826219	59395.2008840649	2.4974294334448	0.00503524672708963	9.14083703619483	TRUE
7	21	8.94760912364071	62.8787484338708	73315.8971521577	2.5	0.00528700906344411	8.96661142892575	TRUE
163	19	8.94760912364071	62.8787484338708	67111.2022416189	2.5	0.00553877139979859	8.79796225334444	TRUE
199	18	8.94760912364071	62.8787484338708	50054.5947751644	2.5	0.00579053373615307	8.63962891817618	TRUE
17	16	8.98942871159885	63.4678909362075	41181.3399124049	2.5	0.00604229607250755	8.49056796109359	TRUE
177	24	8.98942871159885	63.4678909362075	85407.6607665078	2.5	0.00629405840886203	8.34987952485108	TRUE
196	17	8.98942871159885	63.4678909362075	45618.1159475581	2.5	0.00654582074521652	8.2167827681225	TRUE
32	19	9.05231253103441	64.3589515408644	64953.1201322325	2.5	0.006797583081571	8.09059625091	TRUE
86	18	9.09764094369507	65.0051053492945	62913.449785766	2.5	0.00704934541792548	7.97072214469495	TRUE
137	19	9.09764094369507	65.0051053492945	69709.1470991938	2.5	0.00730110775427996	7.85663341411865	TRUE
118	22	9.18510683996403	66.261048842229	59328.9398352227	2.49464331114525	0.00755287009063444	7.73744962049688	TRUE
196	17	9.25817222223223	67.3194241028236	45550.7965234552	2.49631070777998	0.00780463242698892	7.636929043344	TRUE
197	13	9.25817222223223	67.3194241028236	30648.2962834865	2.49452074925474	0.0080563947633434	7.53431154653381	TRUE
168	16	9.30131836054011	67.9483476631382	42258.105955998	2.5	0.00830815709969789	7.44953077301426	TRUE
170	19	9.33715240803053	68.4729086928606	44595.3512767954	2.5	0.00855991943605237	7.35830057543345	TRUE
156	21	9.38108169075962	69.1187247934642	51373.6407908881	2.49664098867148	0.00881168177240685	7.26460756861292	TRUE
65	21	9.38941258485327	69.2415414311834	57261.0415221519	2.49698058609992	0.00906344410876133	7.18108511279051	TRUE
166	19	9.38941258485327	69.2415414311834	55754.5483509975	2.5	0.00931520644511581	7.10545574154102	TRUE
3	26	9.40345753148724	69.4488432378032	91892.3398010815	2.49811201901731	0.00956696878147029	7.02408190429282	FALSE
79	20	9.40345753148724	69.4488432378032	58675.4888063633	2.5	0.00981873111782477	6.95209343052257	TRUE
94	16	9.45969724404308	70.2820394787295	57769.0009389504	2.5	0.0100704934541793	6.87941945817085	TRUE
91	24	9.5958557906009	72.3198150220522	89648.8181438643	2.5	0.0103222557905337	6.80920714655146	FALSE
139	19	9.5958557906009	72.3198150220522	55086.8965756773	2.5	0.0105740181268882	6.74131518390478	TRUE
156	21	9.5958557906009	72.3198150220522	51301.320975866	2.49312641170754	0.0108257804632427	6.66424980776646	TRUE
106	15	9.8267725702149	75.8423342614715	39063.4778365584	2.5	0.0110775427995972	6.61198213265187	TRUE
21	15	9.9196059302987	77.2820654363859	39945.3952266345	2.5	0.0113293051359517	6.5503102373671	FALSE
22	23	10.5181245796112	86.8893407604867	88387.1711058254	2.5	0.0115810674723061	6.49049520584716	TRUE
51	22	10.5626570697107	87.6266566127716	79380.9808674514	2.5	0.0118328298086606	6.43244189238381	TRUE
39	21	10.6104126633685	88.4207982327379	64567.0204819999	2.49658107668582	0.0120845921450151	6.37069284206174	TRUE
85	23	10.6104126633685	88.4207982327379	68495.0554424011	2.5	0.0123363544813696	6.32127309604491	FALSE
123	23	10.6611997569307	89.2692822235756	79336.9737787606	2.5	0.0125881168177241	6.26799881233661	TRUE
